8	ba
焲	yi
匜	yi
檹	yi
謻	yi
旑	yi
觺	yi
笖	yi
怡	yi
鄓	yi
頉	yi
苅	yi
殹	yi
怿	yi
迱	yi
镒	yi
苢	yi
荑	yi
庡	yi
墿	yi
湙	yi
寲	yi
萓	yi
寱	yi
鷁	yi
咿	yi
迻	yi
绎	yi
瑿	yi
齸	yi
谊	yi
议	yi
刈	yi
译	yi
翌	yi
翼	yi
异	yi
顗	yi
垼	yi
饐	yi
酏	yi
扅	yi
咦	yi
蓺	yi
匇	yi
畩	yi
扆	yi
洟	yi
洢	yi
釔	yi
唈	yi
殔	yi
吚	yi
哟	yo
喲	yo
唷	yo
錏	ya
鐚	ya
鑓	ya
衙	ya
庌	ya
涯	ya
厓	ya
哑	ya
雅	ya
崖	ya
蚜	ya
呀	ya
鸭	ya
垭	ya
鸦	ya
丫	ya
軋	ya
牙	ya
窫	ya
芽	ya
亚	ya
讶	ya
厊	ya
聐	ya
軈	ya
冴	ya
俹	ya
瘂	ya
掗	ya
埡	ya
氩	ya
堐	ya
疨	ya
庘	ya
稏	ya
挜	ya
亜	ya
唖	ya
崕	ya
铔	ya
椏	ya
劜	ya
押	ya
猚	ya
圠	ya
琊	ya
鴉	ya
桠	ya
伢	ya
覀	ya
婭	ya
啞	ya
揠	ya
孲	ya
壓	ya
亞	ya
吖	ya
鴨	ya
岈	ya
犽	ya
圔	ya
睚	ya
玡	ya
氬	ya
訝	ya
襾	ya
漄	ya
砑	ya
娅	ya
枒	ya
鵶	ya
轧	ya
迓	ya
笌	ya
猰	ya
压	ya
痖	ya
齖	ya
齾	ya
圧	ya
蕥	ya
嵾	cen
埁	cen
涔	cen
笒	cen
岑	cen
篸	cen
甔	dan
帎	dan
眈	dan
單	dan
亶	dan
饏	dan
髧	dan
瘅	dan
氮	dan
膽	dan
但	dan
箪	dan
聸	dan
旦	dan
癉	dan
儋	dan
餤	dan
彈	dan
弾	dan
弹	dan
蛋	dan
沊	dan
嚪	dan
澹	dan
僤	dan
疸	dan
掸	dan
霮	dan
淡	dan
窞	dan
玬	dan
耼	dan
蜑	dan
賧	dan
诞	dan
嘾	dan
胆	dan
噉	dan
酖	dan
頕	dan
贉	dan
泹	dan
紞	dan
狚	dan
啖	dan
觛	dan
抌	dan
勯	dan
殫	dan
鄲	dan
郸	dan
疍	dan
腅	dan
黵	dan
赕	dan
惮	dan
瓭	dan
訑	dan
擔	dan
繵	dan
黮	dan
禫	dan
癚	dan
簞	dan
匰	dan
蓞	dan
伔	dan
撢	dan
褝	dan
撣	dan
殚	dan
駳	dan
单	dan
襌	dan
丹	dan
単	dan
憺	dan
誕	dan
啿	dan
媅	dan
衴	dan
躭	dan
柦	dan
啗	dan
妉	dan
砃	dan
聃	dan
耽	dan
黕	dan
唌	dan
馾	dan
鴠	dan
刐	dan
担	dan
憚	dan
萏	dan
魛	dao
禂	dao
舠	dao
搗	dao
翿	dao
悼	dao
稻	dao
稲	dao
擣	dao
蹈	dao
捣	dao
隯	dao
到	dao
导	dao
倒	dao
翢	dao
衟	dao
岛	dao
祷	dao
氘	dao
隝	dao
艔	dao
噵	dao
菿	dao
鱽	dao
朷	dao
纛	dao
禱	dao
捯	dao
盜	dao
陦	dao
道	dao
盗	dao
刂	dao
刀	dao
辺	dao
焘	dao
衜	dao
檤	dao
導	dao
燾	dao
釖	dao
嶌	dao
螩	dao
島	dao
壔	dao
嶋	dao
嶹	dao
瓙	dao
軇	dao
忉	dao
晔	ye
鄴	ye
瑘	ye
靨	ye
馌	ye
烨	ye
蠮	ye
頁	ye
璍	ye
谒	ye
餣	ye
擪	ye
鐷	ye
邺	ye
礏	ye
擫	ye
擛	ye
擨	ye
壄	ye
釾	ye
暍	ye
煠	ye
靥	ye
墷	ye
殗	ye
澲	ye
液	ye
夜	ye
野	ye
冶	ye
爷	ye
耶	ye
椰	ye
噎	ye
也	ye
页	ye
曳	ye
腋	ye
叶	ye
业	ye
掖	ye
饁	ye
曄	ye
爗	ye
業	ye
瞱	ye
瞸	ye
漜	ye
燁	ye
爺	ye
謁	ye
吔	ye
嘢	ye
倻	ye
埜	ye
鋣	ye
皣	ye
僷	ye
鍱	ye
葉	ye
曵	ye
曗	ye
揶	ye
曅	ye
铘	ye
驜	ye
鎑	ye
枼	ye
枽	ye
歋	ye
鎁	ye
鵺	ye
鸈	ye
潱	ye
嶪	ye
捙	ye
捓	ye
嶫	ye
抴	ye
亪	ye
亱	ye
蝳	dai
呆	dai
跢	dai
帶	dai
歹	dai
瀻	dai
軑	dai
軩	dai
貣	dai
轪	dai
埭	dai
柋	dai
袋	dai
贷	dai
獃	dai
代	dai
貸	dai
帯	dai
绐	dai
懛	dai
紿	dai
逮	dai
艜	dai
待	dai
玳	dai
蚮	dai
鴏	dai
怠	dai
軚	dai
緿	dai
黱	dai
带	dai
呔	dai
曃	dai
襶	dai
帒	dai
戴	dai
廗	dai
黛	dai
傣	dai
靆	dai
蹛	dai
岱	dai
甙	dai
侢	dai
殆	dai
霴	dai
瑇	dai
迨	dai
叇	dai
垈	dai
簤	dai
歺	dai
鱵	zhen
禛	zhen
畛	zhen
鉁	zhen
桢	zhen
珎	zhen
纼	zhen
縥	zhen
裖	zhen
絼	zhen
嫃	zhen
塦	zhen
紖	zhen
縝	zhen
陣	zhen
駗	zhen
溱	zhen
楨	zhen
診	zhen
抮	zhen
貞	zhen
搸	zhen
眕	zhen
袗	zhen
挋	zhen
帧	zhen
覙	zhen
碪	zhen
稹	zhen
鸩	zhen
鋴	zhen
獉	zhen
鎮	zhen
鍼	zhen
眞	zhen
樼	zhen
浈	zhen
轸	zhen
禎	zhen
鎭	zhen
圳	zhen
紾	zhen
聄	zhen
眹	zhen
栚	zhen
殝	zhen
甽	zhen
赈	zhen
阵	zhen
轃	zhen
鬒	zhen
姫	zhen
缜	zhen
胗	zhen
針	zhen
鴆	zhen
榛	zhen
蒖	zhen
薽	zhen
幀	zhen
箴	zhen
椹	zhen
朕	zhen
蓁	zhen
黰	zhen
湞	zhen
帪	zhen
昣	zhen
寊	zhen
祯	zhen
酙	zhen
屒	zhen
揕	zhen
弫	zhen
籈	zhen
侲	zhen
珍	zhen
軫	zhen
疹	zhen
枕	zhen
侦	zhen
针	zhen
诊	zhen
震	zhen
澵	zhen
偵	zhen
瑧	zhen
镇	zhen
振	zhen
潧	zhen
贞	zhen
真	zhen
賑	zhen
葴	zhen
斟	zhen
錱	zhen
辴	zhen
遉	zhen
臻	zhen
砧	zhen
甄	zhen
誫	zhen
摎	jiu
鯦	jiu
镹	jiu
紤	jiu
柾	jiu
桕	jiu
齨	jiu
鸠	jiu
萛	jiu
舊	jiu
朻	jiu
杦	jiu
欍	jiu
鳩	jiu
牞	jiu
鬮	jiu
倃	jiu
僦	jiu
揂	jiu
鬏	jiu
鹫	jiu
揫	jiu
舏	jiu
疚	jiu
乣	jiu
慦	jiu
勼	jiu
究	jiu
揪	jiu
赳	jiu
纠	jiu
玖	jiu
久	jiu
韭	jiu
糾	jiu
乆	jiu
廏	jiu
廄	jiu
廐	jiu
韮	jiu
汣	jiu
糺	jiu
灸	jiu
九	jiu
匓	jiu
捄	jiu
柩	jiu
麔	jiu
咎	jiu
舅	jiu
旧	jiu
殧	jiu
匶	jiu
酒	jiu
厩	jiu
啾	jiu
救	jiu
匛	jiu
就	jiu
臼	jiu
丩	jiu
阄	jiu
奺	jiu
鷲	jiu
樛	jiu
膀	bang
榜	bang
縍	bang
邦	bang
邫	bang
帮	bang
梆	bang
塝	bang
鎊	bang
浜	bang
髈	bang
稖	bang
挷	bang
蜯	bang
蒡	bang
垹	bang
幚	bang
幇	bang
幫	bang
棓	bang
牓	bang
鞤	bang
玤	bang
捠	bang
磅	bang
棒	bang
蚌	bang
镑	bang
傍	bang
绑	bang
搒	bang
艕	bang
谤	bang
綁	bang
謗	bang
鎒	nou
獳	nou
羺	nou
耨	nou
槈	nou
鐞	nou
檽	nou
璵	yu
喩	yu
戫	yu
淯	yu
嵛	yu
秗	yu
獄	yu
瑜	yu
魊	yu
昱	yu
鄅	yu
淢	yu
覦	yu
蜟	yu
踰	yu
礖	yu
鮽	yu
礇	yu
饇	yu
圄	yu
嶼	yu
喅	yu
魚	yu
礜	yu
敔	yu
鬱	yu
俣	yu
挧	yu
隃	yu
玙	yu
扵	yu
鸆	yu
閾	yu
魣	yu
圫	yu
鬰	yu
酑	yu
陓	yu
禦	yu
琙	yu
玗	yu
扜	yu
圉	yu
褕	yu
驈	yu
騟	yu
谀	yu
餘	yu
紆	yu
瑀	yu
祤	yu
扝	yu
醧	yu
谕	yu
牏	yu
轝	yu
欤	yu
忬	yu
穥	yu
輍	yu
窳	yu
穻	yu
於	yu
衧	yu
噳	yu
焴	yu
芌	yu
齬	yu
蕍	yu
鷸	yu
込	yu
迃	yu
鹆	yu
煜	yu
窬	yu
蕷	yu
輿	yu
萸	yu
艅	yu
庽	yu
肀	yu
齵	yu
娯	yu
羭	yu
彧	yu
嫗	yu
蓣	yu
偊	yu
燠	yu
薁	yu
篽	yu
灪	yu
鹬	yu
稶	yu
娛	yu
邘	yu
瘀	yu
茟	yu
慾	yu
遹	yu
滪	yu
嬩	yu
雤	yu
爩	yu
雓	yu
亐	yu
懙	yu
湡	yu
頨	yu
蓹	yu
袬	yu
茰	yu
稢	yu
燏	yu
臾	yu
霱	yu
罭	yu
揄	yu
悆	yu
與	yu
澦	yu
澞	yu
鷠	yu
潏	yu
軉	yu
舁	yu
瘐	yu
漁	yu
逳	yu
預	yu
惐	yu
腴	yu
俼	yu
觎	yu
禺	yu
媀	yu
兪	yu
纡	yu
語	yu
愉	yu
矞	yu
鱼	yu
飫	yu
桙	yu
砡	yu
渝	yu
渔	yu
麌	yu
鴪	yu
鴧	yu
聿	yu
骬	yu
鴥	yu
逾	yu
鍝	yu
愚	yu
舆	yu
籲	yu
狳	yu
榆	yu
于	yu
盂	yu
楀	yu
余	yu
俁	yu
棛	yu
俞	yu
籞	yu
棜	yu
棫	yu
錥	yu
鳿	yu
諛	yu
隅	yu
儥	yu
玉	yu
域	yu
蝓	yu
羽	yu
语	yu
硲	yu
妤	yu
宇	yu
誉	yu
育	yu
郁	yu
峪	yu
喻	yu
御	yu
芋	yu
狱	yu
欲	yu
愈	yu
禹	yu
杅	yu
籅	yu
伃	yu
驭	yu
僪	yu
妪	yu
予	yu
鵒	yu
鬻	yu
豫	yu
预	yu
与	yu
硢	yu
屿	yu
雨	yu
娱	yu
裕	yu
寓	yu
浴	yu
淤	yu
虞	yu
旟	yu
螸	yu
鐭	yu
箊	yu
傴	yu
癒	yu
寙	yu
庾	yu
櫲	yu
嵎	yu
雩	yu
銉	yu
龉	yu
楡	yu
蒮	yu
蜮	yu
鰅	yu
欎	yu
緎	yu
歟	yu
唹	yu
鈺	yu
遇	yu
歶	yu
伛	yu
嶎	yu
毓	yu
瘉	yu
斔	yu
饫	yu
欝	yu
馀	yu
欥	yu
斞	yu
貐	yu
歈	yu
馭	yu
竽	yu
萮	yu
蘌	yu
虶	yu
鱊	yu
堣	yu
崳	yu
鋊	yu
粖	yu
匬	yu
睮	yu
钰	yu
堬	yu
楰	yu
堉	yu
盓	yu
迂	yu
鸒	yu
萭	yu
譽	yu
阈	yu
諭	yu
蘛	yu
謣	yu
螉	weng
蕹	weng
鶲	weng
嵡	weng
聬	weng
瞈	weng
罋	weng
翁	weng
鹟	weng
嗡	weng
勜	weng
塕	weng
滃	weng
鎓	weng
蓊	weng
瓮	weng
攚	weng
甕	weng
奣	weng
齆	weng
暡	weng
兡	baike
摁	en
峎	en
奀	en
蒽	en
煾	en
嗯	en
恩	en
欸	ei
誒	ei
诶	ei
閌	kang
扛	kang
穅	kang
炕	kang
砊	kang
康	kang
漮	kang
鈧	kang
抗	kang
伉	kang
鏮	kang
忼	kang
躿	kang
嫝	kang
槺	kang
邟	kang
鱇	kang
钪	kang
粇	kang
嵻	kang
糠	kang
犺	kang
亢	kang
闶	kang
匟	kang
囥	kang
慷	kang
滚	gun
辊	gun
衮	gun
袞	gun
鯀	gun
蔉	gun
惃	gun
鲧	gun
睔	gun
磙	gun
鮌	gun
棍	gun
绲	gun
緷	gun
謴	gun
蓘	gun
輥	gun
滾	gun
緄	gun
丨	gun
侕	er
弐	er
樲	er
鉺	er
薾	er
鸸	er
衈	er
饵	er
髵	er
尔	er
轜	er
荋	er
佴	er
洱	er
二	er
唲	er
貳	er
鮞	er
鴯	er
弍	er
爾	er
刵	er
袻	er
兒	er
邇	er
誀	er
児	er
貮	er
趰	er
胹	er
峏	er
而	er
咡	er
栭	er
毦	er
粫	er
耏	er
栮	er
隭	er
餌	er
輀	er
聏	er
儿	er
珥	er
尒	er
髶	er
駬	er
鲕	er
乻	er
尓	er
洏	er
陑	er
铒	er
贰	er
耳	er
迩	er
鴑	ru
蝡	ru
辱	ru
擩	ru
颥	ru
繻	ru
媷	ru
扖	ru
銣	ru
蠕	ru
挐	ru
儒	ru
蕠	ru
孺	ru
濡	ru
乳	ru
铷	ru
醹	ru
鄏	ru
曘	ru
襦	ru
桇	ru
褥	ru
入	ru
蓐	ru
嬬	ru
汝	ru
筎	ru
嚅	ru
嗕	ru
縟	ru
如	ru
侞	ru
蒘	ru
洳	ru
杁	ru
肗	ru
渪	ru
帤	ru
缛	ru
薷	ru
溽	ru
顬	ru
鱬	ru
鴽	ru
袽	ru
茹	ru
邚	ru
嶿	ru
挳	keng
硁	keng
鏗	keng
銵	keng
阬	keng
誙	keng
铿	keng
硜	keng
摼	keng
鍞	keng
硻	keng
妔	keng
劥	keng
坑	keng
牼	keng
紨	fu
跗	fu
鉘	fu
柫	fu
趺	fu
賻	fu
柎	fu
坿	fu
稪	fu
邞	fu
負	fu
緮	fu
艴	fu
荂	fu
釡	fu
茀	fu
鍢	fu
踾	fu
帗	fu
郙	fu
黼	fu
媍	fu
罦	fu
輔	fu
芣	fu
浮	fu
枎	fu
巿	fu
鵩	fu
蜅	fu
懯	fu
竎	fu
赙	fu
紱	fu
垘	fu
蕧	fu
砩	fu
黻	fu
棴	fu
稃	fu
馥	fu
畉	fu
幞	fu
韨	fu
鍑	fu
刜	fu
縛	fu
孵	fu
栿	fu
彿	fu
糐	fu
祓	fu
麸	fu
鳺	fu
呋	fu
呒	fu
焤	fu
肤	fu
鳬	fu
鮒	fu
茯	fu
嘸	fu
弣	fu
鳧	fu
酜	fu
夫	fu
敷	fu
復	fu
嬔	fu
鮄	fu
怤	fu
扶	fu
拂	fu
鴔	fu
匐	fu
阝	fu
服	fu
荴	fu
鬴	fu
袚	fu
袝	fu
畐	fu
萯	fu
苻	fu
鉜	fu
俘	fu
伏	fu
冨	fu
韍	fu
郛	fu
葍	fu
辐	fu
怫	fu
幅	fu
泭	fu
符	fu
衭	fu
氟	fu
洑	fu
凫	fu
烰	fu
罘	fu
盙	fu
鄜	fu
驸	fu
撫	fu
麱	fu
綒	fu
綍	fu
鳆	fu
榑	fu
膚	fu
襥	fu
姇	fu
鈇	fu
箙	fu
麬	fu
麩	fu
俌	fu
輹	fu
俛	fu
虙	fu
玸	fu
咐	fu
粰	fu
蝠	fu
孚	fu
蚨	fu
桴	fu
蜉	fu
輻	fu
滏	fu
伕	fu
蝜	fu
澓	fu
豧	fu
鲋	fu
妋	fu
筟	fu
旉	fu
絥	fu
绋	fu
绂	fu
峊	fu
咈	fu
紼	fu
甶	fu
乀	fu
颫	fu
胕	fu
諨	fu
炥	fu
琈	fu
芙	fu
覄	fu
祔	fu
菔	fu
岪	fu
拊	fu
鰒	fu
笰	fu
莩	fu
哹	fu
玞	fu
砆	fu
缚	fu
蝮	fu
婏	fu
赴	fu
蚹	fu
腐	fu
府	fu
癁	fu
駙	fu
複	fu
蚥	fu
簠	fu
覆	fu
赋	fu
尃	fu
捬	fu
頫	fu
妇	fu
腑	fu
賦	fu
甫	fu
抚	fu
辅	fu
弗	fu
袱	fu
涪	fu
福	fu
蛗	fu
俯	fu
秿	fu
鶝	fu
婦	fu
訃	fu
脯	fu
釜	fu
斧	fu
褔	fu
副	fu
禣	fu
艀	fu
阜	fu
腹	fu
富	fu
襆	fu
椱	fu
娐	fu
椨	fu
负	fu
詂	fu
髴	fu
复	fu
附	fu
翇	fu
傅	fu
讣	fu
付	fu
偩	fu
父	fu
惹	re
熱	re
热	re
朲	ren
袵	ren
綛	ren
秹	ren
魜	ren
秂	ren
荵	ren
紝	ren
纴	ren
訒	ren
轫	ren
牣	ren
仭	ren
姙	ren
祍	ren
紉	ren
芢	ren
稔	ren
栠	ren
任	ren
韧	ren
忍	ren
棯	ren
刄	ren
絍	ren
肕	ren
栣	ren
忈	ren
鈓	ren
仁	ren
鵀	ren
餁	ren
銋	ren
忎	ren
腍	ren
人	ren
认	ren
刃	ren
讱	ren
韌	ren
飪	ren
亻	ren
杒	ren
仞	ren
梕	ren
饪	ren
屻	ren
軔	ren
認	ren
妊	ren
衽	ren
靭	ren
荏	ren
壬	ren
纫	ren
靱	ren
罖	rb
囕	rb
鞲	gou
岣	gou
蚼	gou
雊	gou
彀	gou
坸	gou
袧	gou
訽	gou
冓	gou
鉤	gou
購	gou
溝	gou
觏	gou
笱	gou
緱	gou
韝	gou
篝	gou
芶	gou
耇	gou
钩	gou
豿	gou
媾	gou
姤	gou
勾	gou
沟	gou
煹	gou
狗	gou
苟	gou
啂	gou
撀	gou
缑	gou
構	gou
佝	gou
覯	gou
夠	gou
痀	gou
詬	gou
鈎	gou
垢	gou
搆	gou
够	gou
购	gou
玽	gou
簼	gou
遘	gou
耉	gou
耈	gou
褠	gou
构	gou
诟	gou
馹	ri
囸	ri
鈤	ri
釼	ri
衵	ri
釰	ri
驲	ri
日	ri
佘	she
慴	she
慑	she
弽	she
舌	she
舍	she
畲	she
厙	she
麝	she
懾	she
舎	she
攝	she
檨	she
蛥	she
厍	she
滠	she
射	she
賖	she
社	she
賒	she
騇	she
揲	she
設	she
奓	she
韘	she
涻	she
涉	she
设	she
捨	she
摄	she
畭	she
畬	she
灄	she
蠂	she
猞	she
欇	she
奢	she
渉	she
赊	she
輋	she
虵	she
蛇	she
蔎	she
摂	she
赦	she
輓	wan
萬	wan
綰	wan
完	wan
晼	wan
椀	wan
涴	wan
壪	wan
婠	wan
妧	wan
鋄	wan
汍	wan
梚	wan
卍	wan
澫	wan
蜿	wan
弯	wan
卐	wan
抏	wan
捖	wan
畹	wan
蟃	wan
贎	wan
绾	wan
捥	wan
脕	wan
盌	wan
玩	wan
琬	wan
倇	wan
萖	wan
芄	wan
晩	wan
翫	wan
輐	wan
紈	wan
豌	wan
晥	wan
挽	wan
刓	wan
碗	wan
晚	wan
唍	wan
菀	wan
剜	wan
埦	wan
婉	wan
薍	wan
湾	wan
惋	wan
鎫	wan
綩	wan
皖	wan
箢	wan
宛	wan
錽	wan
帵	wan
忨	wan
彎	wan
蔓	wan
丸	wan
顽	wan
灣	wan
鋔	wan
瞣	wan
纨	wan
潫	wan
贃	wan
腕	wan
踠	wan
頑	wan
烷	wan
睕	wan
塆	wan
脘	wan
岏	wan
万	wan
貦	wan
添	tian
天	tian
忝	tian
婖	tian
菾	tian
填	tian
塡	tian
賟	tian
屇	tian
舔	tian
兲	tian
田	tian
晪	tian
搷	tian
璳	tian
窴	tian
鷆	tian
痶	tian
阗	tian
鷏	tian
錪	tian
緂	tian
恬	tian
腆	tian
黇	tian
唺	tian
靔	tian
畋	tian
沺	tian
胋	tian
餂	tian
闐	tian
碵	tian
淟	tian
殄	tian
睓	tian
靝	tian
琠	tian
覥	tian
觍	tian
畑	tian
掭	tian
湉	tian
甜	tian
酟	tian
磌	tian
倎	tian
甛	tian
瑱	tian
悿	tian
舚	tian
蟿	qi
碛	qi
迄	qi
丌	qi
竒	qi
汽	qi
颀	qi
粸	qi
蚑	qi
亝	qi
啟	qi
柒	qi
漆	qi
甈	qi
蚔	qi
藒	qi
讫	qi
藄	qi
泣	qi
璂	qi
蜝	qi
蚚	qi
頎	qi
簯	qi
啓	qi
螧	qi
啔	qi
亓	qi
疧	qi
其	qi
弃	qi
沏	qi
耆	qi
簱	qi
騹	qi
憩	qi
唭	qi
娸	qi
倛	qi
婍	qi
器	qi
旗	qi
齐	qi
嵜	qi
傶	qi
祈	qi
碁	qi
諬	qi
脐	qi
鳍	qi
碶	qi
麡	qi
启	qi
訖	qi
碕	qi
企	qi
乞	qi
闙	qi
籏	qi
岂	qi
僛	qi
矵	qi
鵆	qi
起	qi
岓	qi
鵸	qi
鶀	qi
麒	qi
臍	qi
祁	qi
剘	qi
鶈	qi
骑	qi
崎	qi
蘄	qi
气	qi
呮	qi
槭	qi
騎	qi
盀	qi
棋	qi
騏	qi
咠	qi
鰭	qi
豈	qi
帺	qi
掑	qi
捿	qi
齊	qi
唘	qi
褀	qi
盵	qi
鲯	qi
磩	qi
契	qi
磧	qi
歧	qi
磜	qi
畦	qi
砌	qi
奇	qi
肵	qi
褄	qi
禥	qi
襅	qi
呇	qi
陭	qi
蠐	qi
妻	qi
期	qi
慼	qi
慽	qi
湇	qi
欺	qi
摖	qi
埼	qi
綺	qi
緀	qi
滊	qi
邔	qi
桤	qi
檱	qi
圻	qi
湆	qi
暣	qi
凄	qi
憇	qi
栔	qi
汔	qi
猉	qi
紪	qi
七	qi
棨	qi
郪	qi
夡	qi
墄	qi
迉	qi
踦	qi
戚	qi
霋	qi
噐	qi
炁	qi
蕲	qi
萋	qi
斊	qi
萁	qi
斉	qi
葺	qi
蛴	qi
旂	qi
濝	qi
愭	qi
琪	qi
琦	qi
罊	qi
绮	qi
敧	qi
晵	qi
芑	qi
杞	qi
鐑	qi
櫀	qi
軝	qi
愒	qi
芪	qi
綦	qi
欫	qi
攲	qi
萕	qi
锜	qi
蜞	qi
魌	qi
栖	qi
榿	qi
嘁	qi
悽	qi
欹	qi
艩	qi
綥	qi
鯕	qi
桼	qi
鏚	qi
岐	qi
骐	qi
棊	qi
棄	qi
祺	qi
忯	qi
氣	qi
気	qi
懠	qi
玂	qi
淇	qi
釮	qi
玘	qi
跂	qi
鄿	qi
芞	qi
淒	qi
屺	qi
棲	qi
隑	qi
錡	qi
鬿	qi
鬐	qi
缺	que
炔	que
瘸	que
确	que
碏	que
鵲	que
榷	que
愨	que
鹊	que
燩	que
却	que
阕	que
闋	que
硞	que
傕	que
缼	que
悫	que
棤	que
礐	que
阙	que
埆	que
碻	que
闕	que
趞	que
確	que
礭	que
卻	que
塙	que
琷	que
蒛	que
慤	que
崅	que
搉	que
皵	que
雀	que
徥	shi
蚀	shi
餝	shi
實	shi
鈰	shi
適	shi
适	shi
仕	shi
礻	shi
屍	shi
勢	shi
遈	shi
竍	shi
事	shi
矢	shi
使	shi
屎	shi
煶	shi
鳾	shi
冟	shi
諟	shi
誓	shi
諡	shi
拭	shi
鰘	shi
鳲	shi
柿	shi
塒	shi
師	shi
螫	shi
実	shi
驶	shi
鉇	shi
始	shi
士	shi
世	shi
示	shi
式	shi
舓	shi
逝	shi
寔	shi
鍦	shi
鮖	shi
獅	shi
筮	shi
酾	shi
弒	shi
蓍	shi
鉃	shi
鉂	shi
鰤	shi
鰣	shi
实	shi
澨	shi
鯴	shi
势	shi
识	shi
鸤	shi
史	shi
栻	shi
莳	shi
是	shi
鶳	shi
襫	shi
饣	shi
嗜	shi
噬	shi
乄	shi
失	shi
視	shi
軾	shi
蝕	shi
铈	shi
湤	shi
餙	shi
峕	shi
师	shi
鼭	shi
湜	shi
鼫	shi
奭	shi
絁	shi
呩	shi
蒒	shi
謚	shi
施	shi
诗	shi
弑	shi
辻	shi
貰	shi
崼	shi
姼	shi
蝨	shi
轼	shi
狮	shi
睗	shi
箷	shi
呞	shi
佦	shi
瑡	shi
丗	shi
釃	shi
識	shi
卋	shi
銴	shi
觢	shi
烒	shi
贳	shi
飾	shi
秲	shi
鱰	shi
宩	shi
釈	shi
嬕	shi
乨	shi
昰	shi
亊	shi
眡	shi
時	shi
簭	shi
旹	shi
眎	shi
釋	shi
飠	shi
眂	shi
鲺	shi
蒔	shi
湿	shi
市	shi
揓	shi
十	shi
氏	shi
襹	shi
石	shi
褷	shi
戺	shi
溼	shi
埘	shi
籂	shi
溮	shi
虱	shi
视	shi
恃	shi
室	shi
駛	shi
饰	shi
鲥	shi
什	shi
时	shi
炻	shi
侍	shi
兘	shi
食	shi
浉	shi
释	shi
遾	shi
柹	shi
豕	shi
忕	shi
拾	shi
谥	shi
试	shi
枾	shi
溡	shi
笶	shi
釶	shi
尸	shi
鉽	shi
榯	shi
鉐	shi
嵵	shi
邿	shi
詩	shi
舐	shi
濕	shi
祏	shi
試	shi
恀	shi
葹	shi
順	shun
蕣	shun
吮	shun
楯	shun
瞚	shun
橓	shun
顺	shun
瞬	shun
舜	shun
鬊	shun
妁	shuo
说	shuo
爍	shuo
鎙	shuo
蒴	shuo
烁	shuo
朔	shuo
铄	shuo
獡	shuo
欶	shuo
碩	shuo
搠	shuo
矟	shuo
説	shuo
鑠	shuo
箾	shuo
硕	shuo
說	shuo
槊	shuo
嗮	sbi
壭	sbn
乺	sbo
囷	qun
逡	qun
帬	qun
裠	qun
裙	qun
群	qun
羣	qun
踆	qun
夋	qun
宭	qun
峮	qun
跩	zhuai
拽	zhuai
鍅	fb
泶	xue
樰	xue
轌	xue
穴	xue
嶨	xue
血	xue
踅	xue
靴	xue
学	xue
燢	xue
雪	xue
謔	xue
薛	xue
澩	xue
鳕	xue
蒆	xue
瞲	xue
鞾	xue
疶	xue
狘	xue
辥	xue
袕	xue
趐	xue
吷	xue
乴	xue
鱈	xue
鷽	xue
岤	xue
桖	xue
峃	xue
瀥	xue
壆	xue
學	xue
谑	xue
茓	xue
坹	xue
斈	xue
觷	xue
彐	xue
膤	xue
鸴	xue
辪	xue
橒	yun
昀	yun
勻	yun
愠	yun
磒	yun
恽	yun
妘	yun
酝	yun
郓	yun
餫	yun
緼	yun
贇	yun
暈	yun
鈗	yun
筠	yun
蝹	yun
雲	yun
秐	yun
馻	yun
薀	yun
隕	yun
夽	yun
畇	yun
韫	yun
賱	yun
蕰	yun
耘	yun
縜	yun
陨	yun
赟	yun
奫	yun
孕	yun
蕓	yun
殒	yun
允	yun
齫	yun
荺	yun
蕴	yun
腪	yun
褞	yun
匀	yun
郧	yun
鋆	yun
抎	yun
韵	yun
縕	yun
晕	yun
殞	yun
抣	yun
云	yun
阭	yun
傊	yun
眃	yun
運	yun
运	yun
耺	yun
伝	yun
霣	yun
蒷	yun
枟	yun
鄖	yun
芸	yun
缊	yun
惲	yun
馧	yun
熅	yun
煴	yun
篔	yun
鄆	yun
藴	yun
韞	yun
韗	yun
蘊	yun
韻	yun
溳	yun
蒀	yun
囩	yun
熨	yun
蒕	yun
齳	yun
澐	yun
醖	yun
涢	yun
愪	yun
熉	yun
纭	yun
喗	yun
氲	yun
狁	yun
醞	yun
沄	yun
氳	yun
筼	yun
紜	yun
慍	yun
姠	xiang
想	xiang
鱌	xiang
缿	xiang
享	xiang
响	xiang
麘	xiang
庠	xiang
祥	xiang
翔	xiang
芗	xiang
详	xiang
葙	xiang
骧	xiang
佭	xiang
餉	xiang
向	xiang
瓨	xiang
鲞	xiang
象	xiang
像	xiang
鯗	xiang
巷	xiang
曏	xiang
膷	xiang
蟓	xiang
橡	xiang
饟	xiang
乡	xiang
項	xiang
缃	xiang
相	xiang
鑲	xiang
厢	xiang
鄊	xiang
薌	xiang
楿	xiang
鄕	xiang
嶑	xiang
響	xiang
廂	xiang
珦	xiang
勨	xiang
欀	xiang
襄	xiang
萫	xiang
湘	xiang
饗	xiang
鱶	xiang
飨	xiang
鐌	xiang
鄉	xiang
晑	xiang
镶	xiang
香	xiang
箱	xiang
蠁	xiang
项	xiang
驤	xiang
纕	xiang
衖	xiang
忀	xiang
